amount,time,compairs,swaps
1000,58.458000,847754,339514
2000,204.717000,3239176,1224306
3000,440.869000,7111813,2589076
4000,821.954000,12653459,4627480
5000,1299.888000,19956583,7424997
6000,1926.607000,28826611,10791151
7000,2554.449000,39626258,15086077
8000,3380.014000,52060070,20015127
9000,4280.561000,66090456,25538114
10000,5464.177000,82187093,32129444
